"game_id","id","strategy","vp_visible","vp_total","settlements","cities","roads","knights","longest_road","largest_army"
1,1,"sheep",4,4,2,0,8,0,TRUE,FALSE
1,2,"balanced",5,5,3,1,6,0,FALSE,FALSE
1,3,"ore_grain",9,10,1,3,8,3,FALSE,TRUE
2,1,"balanced",6,8,0,3,3,0,FALSE,FALSE
2,2,"sheep",9,10,5,1,15,0,TRUE,FALSE
2,3,"ore_grain",5,6,1,2,15,0,FALSE,FALSE
3,1,"sheep",6,6,4,0,10,0,TRUE,FALSE
3,2,"ore_grain",8,10,0,3,9,3,FALSE,TRUE
3,3,"balanced",7,9,5,1,12,0,FALSE,FALSE
4,1,"ore_grain",4,5,2,1,7,0,FALSE,FALSE
4,2,"sheep",2,3,2,0,6,0,FALSE,FALSE
4,3,"balanced",9,10,1,3,10,0,TRUE,FALSE
5,1,"balanced",6,6,0,3,5,0,FALSE,FALSE
5,2,"sheep",4,4,2,0,8,0,TRUE,FALSE
5,3,"ore_grain",9,10,1,4,8,1,FALSE,FALSE
6,1,"ore_grain",6,8,0,3,4,0,FALSE,FALSE
6,2,"balanced",6,9,4,1,10,0,FALSE,FALSE
6,3,"sheep",10,10,2,3,8,0,TRUE,FALSE
7,1,"sheep",5,5,5,0,7,0,FALSE,FALSE
7,2,"balanced",9,10,3,3,8,0,FALSE,FALSE
7,3,"ore_grain",6,6,0,3,4,1,FALSE,FALSE
8,1,"balanced",3,4,3,0,6,0,FALSE,FALSE
8,2,"ore_grain",10,10,2,4,9,0,FALSE,FALSE
8,3,"sheep",7,8,5,0,12,0,TRUE,FALSE
9,1,"balanced",6,10,4,1,15,0,FALSE,FALSE
9,2,"ore_grain",10,10,2,4,8,0,FALSE,FALSE
9,3,"sheep",7,8,5,0,13,0,TRUE,FALSE
10,1,"sheep",7,9,5,0,10,0,TRUE,FALSE
10,2,"ore_grain",3,3,1,1,4,1,FALSE,FALSE
10,3,"balanced",8,10,2,3,8,0,FALSE,FALSE
11,1,"sheep",4,5,2,0,7,0,TRUE,FALSE
11,2,"balanced",6,6,0,3,7,0,FALSE,FALSE
11,3,"ore_grain",8,11,2,2,6,3,FALSE,TRUE
12,1,"balanced",8,8,4,1,15,0,TRUE,FALSE
12,2,"sheep",8,10,2,3,12,0,FALSE,FALSE
12,3,"ore_grain",3,5,3,0,13,2,FALSE,FALSE
13,1,"balanced",8,10,2,3,7,0,FALSE,FALSE
13,2,"ore_grain",7,7,3,2,12,1,FALSE,FALSE
13,3,"sheep",7,8,5,0,11,0,TRUE,FALSE
14,1,"ore_grain",8,10,4,1,10,3,FALSE,TRUE
14,2,"sheep",5,5,3,0,15,0,TRUE,FALSE
14,3,"balanced",9,9,3,3,15,0,FALSE,FALSE
15,1,"ore_grain",7,8,3,1,6,3,FALSE,TRUE
15,2,"sheep",2,4,2,0,11,0,FALSE,FALSE
15,3,"balanced",8,10,4,1,13,0,TRUE,FALSE
16,1,"sheep",2,4,2,0,5,0,FALSE,FALSE
16,2,"ore_grain",4,5,0,2,7,1,FALSE,FALSE
16,3,"balanced",10,10,4,2,10,0,TRUE,FALSE
17,1,"balanced",6,8,4,1,7,0,FALSE,FALSE
17,2,"sheep",7,7,3,2,10,0,FALSE,FALSE
17,3,"ore_grain",9,10,1,3,8,0,TRUE,FALSE
18,1,"balanced",9,10,1,3,10,0,TRUE,FALSE
18,2,"sheep",2,3,2,0,9,0,FALSE,FALSE
18,3,"ore_grain",6,6,2,2,6,0,FALSE,FALSE
19,1,"sheep",2,2,2,0,5,0,FALSE,FALSE
19,2,"balanced",3,4,1,1,4,0,FALSE,FALSE
19,3,"ore_grain",10,10,0,3,6,3,TRUE,TRUE
20,1,"ore_grain",9,10,3,1,10,5,TRUE,TRUE
20,2,"balanced",5,6,5,0,9,0,FALSE,FALSE
20,3,"sheep",3,6,3,0,15,0,FALSE,FALSE
21,1,"sheep",5,5,5,0,15,0,FALSE,FALSE
21,2,"balanced",2,6,2,0,6,0,FALSE,FALSE
21,3,"ore_grain",10,10,0,4,9,1,TRUE,FALSE
22,1,"sheep",5,5,3,0,14,0,TRUE,FALSE
22,2,"ore_grain",4,5,0,2,7,2,FALSE,FALSE
22,3,"balanced",8,10,2,3,10,0,FALSE,FALSE
23,1,"balanced",6,8,2,1,8,0,TRUE,FALSE
23,2,"ore_grain",4,4,4,0,6,1,FALSE,FALSE
23,3,"sheep",8,10,2,3,10,0,FALSE,FALSE
24,1,"balanced",6,10,0,3,10,0,FALSE,FALSE
24,2,"ore_grain",5,5,3,0,9,4,FALSE,TRUE
24,3,"sheep",6,6,0,2,8,0,TRUE,FALSE
25,1,"balanced",8,10,4,2,10,0,FALSE,FALSE
25,2,"sheep",4,4,2,0,12,0,TRUE,FALSE
25,3,"ore_grain",8,8,0,4,6,0,FALSE,FALSE
26,1,"sheep",7,8,5,1,10,0,FALSE,FALSE
26,2,"balanced",7,10,3,2,10,0,FALSE,FALSE
26,3,"ore_grain",9,9,1,3,10,2,TRUE,FALSE
27,1,"ore_grain",7,7,3,1,5,7,FALSE,TRUE
27,2,"sheep",7,9,5,1,9,0,FALSE,FALSE
27,3,"balanced",7,10,1,2,6,0,TRUE,FALSE
28,1,"balanced",2,4,2,0,6,0,FALSE,FALSE
28,2,"sheep",7,8,5,0,7,0,TRUE,FALSE
28,3,"ore_grain",9,10,3,2,11,9,FALSE,TRUE
29,1,"ore_grain",4,4,0,2,8,2,FALSE,FALSE
29,2,"balanced",9,10,5,1,11,0,TRUE,FALSE
29,3,"sheep",3,3,3,0,11,0,FALSE,FALSE
30,1,"ore_grain",8,10,0,4,4,1,FALSE,FALSE
30,2,"sheep",8,8,4,1,12,0,TRUE,FALSE
30,3,"balanced",4,6,0,2,5,0,FALSE,FALSE
31,1,"balanced",2,3,2,0,6,0,FALSE,FALSE
31,2,"sheep",8,10,4,2,12,0,FALSE,FALSE
31,3,"ore_grain",7,7,3,1,13,2,TRUE,FALSE
32,1,"sheep",2,5,2,0,6,0,FALSE,FALSE
32,2,"ore_grain",6,7,4,0,10,1,TRUE,FALSE
32,3,"balanced",9,10,1,4,11,0,FALSE,FALSE
33,1,"sheep",4,5,2,0,10,0,TRUE,FALSE
33,2,"balanced",8,10,0,4,9,0,FALSE,FALSE
33,3,"ore_grain",9,9,1,4,11,1,FALSE,FALSE
34,1,"ore_grain",4,4,4,0,9,1,FALSE,FALSE
34,2,"balanced",10,10,4,2,10,0,TRUE,FALSE
34,3,"sheep",5,6,5,0,8,0,FALSE,FALSE
35,1,"ore_grain",4,5,0,2,5,1,FALSE,FALSE
35,2,"sheep",2,2,2,0,8,0,FALSE,FALSE
35,3,"balanced",11,11,1,4,9,0,TRUE,FALSE
36,1,"balanced",5,8,1,2,9,0,FALSE,FALSE
36,2,"ore_grain",8,8,0,4,8,1,FALSE,FALSE
36,3,"sheep",8,10,2,3,6,0,FALSE,FALSE
37,1,"balanced",5,7,5,0,10,0,FALSE,FALSE
37,2,"ore_grain",4,4,4,0,13,0,FALSE,FALSE
37,3,"sheep",8,10,4,1,15,0,TRUE,FALSE
38,1,"sheep",8,8,2,2,9,0,TRUE,FALSE
38,2,"ore_grain",9,11,1,3,9,3,FALSE,TRUE
38,3,"balanced",3,5,3,0,6,0,FALSE,FALSE
39,1,"sheep",7,7,3,2,10,0,FALSE,FALSE
39,2,"ore_grain",10,10,2,4,9,1,FALSE,FALSE
39,3,"balanced",6,6,4,0,12,0,TRUE,FALSE
40,1,"sheep",8,10,4,1,11,0,TRUE,FALSE
40,2,"ore_grain",5,6,3,1,6,2,FALSE,FALSE
40,3,"balanced",5,5,1,2,12,0,FALSE,FALSE
41,1,"ore_grain",3,4,3,0,8,0,FALSE,FALSE
41,2,"sheep",3,4,3,0,12,0,FALSE,FALSE
41,3,"balanced",9,10,3,2,11,0,TRUE,FALSE
42,1,"balanced",8,10,2,2,13,0,TRUE,FALSE
42,2,"ore_grain",9,9,1,4,10,1,FALSE,FALSE
42,3,"sheep",6,7,0,3,7,0,FALSE,FALSE
43,1,"sheep",6,6,4,0,8,0,TRUE,FALSE
43,2,"balanced",8,10,0,4,6,0,FALSE,FALSE
43,3,"ore_grain",6,8,0,3,6,2,FALSE,FALSE
44,1,"sheep",4,4,4,0,8,0,FALSE,FALSE
44,2,"balanced",6,7,4,0,7,0,TRUE,FALSE
44,3,"ore_grain",8,10,0,3,7,6,FALSE,TRUE
45,1,"sheep",5,5,3,0,6,0,TRUE,FALSE
45,2,"ore_grain",8,10,0,3,7,3,FALSE,TRUE
45,3,"balanced",3,3,3,0,7,0,FALSE,FALSE
46,1,"ore_grain",8,10,0,4,8,0,FALSE,FALSE
46,2,"balanced",7,7,5,1,15,0,FALSE,FALSE
46,3,"sheep",7,8,5,0,13,0,TRUE,FALSE
47,1,"ore_grain",5,6,3,1,9,1,FALSE,FALSE
47,2,"sheep",3,3,3,0,10,0,FALSE,FALSE
47,3,"balanced",9,10,1,3,12,0,TRUE,FALSE
48,1,"sheep",4,4,2,0,10,0,TRUE,FALSE
48,2,"ore_grain",10,10,4,2,10,4,FALSE,TRUE
48,3,"balanced",5,5,3,1,8,0,FALSE,FALSE
49,1,"balanced",9,10,3,3,13,0,FALSE,FALSE
49,2,"sheep",4,7,2,0,7,0,TRUE,FALSE
49,3,"ore_grain",9,10,1,3,7,4,FALSE,TRUE
50,1,"balanced",4,5,0,2,5,0,FALSE,FALSE
50,2,"ore_grain",8,10,0,4,12,0,FALSE,FALSE
50,3,"sheep",9,9,3,2,14,0,TRUE,FALSE
51,1,"ore_grain",9,10,1,3,7,3,FALSE,TRUE
51,2,"sheep",8,9,4,1,11,0,TRUE,FALSE
51,3,"balanced",7,7,3,2,9,0,FALSE,FALSE
52,1,"balanced",8,9,0,3,6,0,TRUE,FALSE
52,2,"ore_grain",9,10,1,3,7,3,FALSE,TRUE
52,3,"sheep",3,6,3,0,9,0,FALSE,FALSE
53,1,"ore_grain",4,7,0,2,3,2,FALSE,FALSE
53,2,"sheep",4,4,2,0,8,0,TRUE,FALSE
53,3,"balanced",9,10,1,4,9,0,FALSE,FALSE
54,1,"balanced",9,10,1,3,9,0,TRUE,FALSE
54,2,"ore_grain",4,4,4,0,6,0,FALSE,FALSE
54,3,"sheep",3,4,3,0,11,0,FALSE,FALSE
55,1,"balanced",5,7,3,1,10,0,FALSE,FALSE
55,2,"ore_grain",10,10,0,4,8,0,TRUE,FALSE
55,3,"sheep",4,4,4,0,10,0,FALSE,FALSE
56,1,"ore_grain",9,10,1,4,11,2,FALSE,FALSE
56,2,"sheep",5,6,5,0,11,0,FALSE,FALSE
56,3,"balanced",9,9,3,2,12,0,TRUE,FALSE
57,1,"balanced",6,6,4,0,8,0,TRUE,FALSE
57,2,"sheep",3,3,3,0,9,0,FALSE,FALSE
57,3,"ore_grain",7,10,1,3,5,1,FALSE,FALSE
58,1,"balanced",9,11,1,3,12,0,TRUE,FALSE
58,2,"sheep",2,3,2,0,10,0,FALSE,FALSE
58,3,"ore_grain",6,7,2,2,15,1,FALSE,FALSE
59,1,"balanced",7,10,5,0,9,0,TRUE,FALSE
59,2,"sheep",5,7,5,0,12,0,FALSE,FALSE
59,3,"ore_grain",8,8,0,4,7,0,FALSE,FALSE
60,1,"balanced",10,12,0,4,9,0,TRUE,FALSE
60,2,"ore_grain",7,7,1,3,11,0,FALSE,FALSE
60,3,"sheep",4,5,2,1,4,0,FALSE,FALSE
61,1,"sheep",3,5,3,0,9,0,FALSE,FALSE
61,2,"ore_grain",10,11,2,2,8,4,TRUE,TRUE
61,3,"balanced",2,4,2,0,8,0,FALSE,FALSE
62,1,"ore_grain",3,3,3,0,9,0,FALSE,FALSE
62,2,"balanced",4,6,2,1,8,0,FALSE,FALSE
62,3,"sheep",9,10,3,2,10,0,TRUE,FALSE
63,1,"ore_grain",2,2,2,0,8,0,FALSE,FALSE
63,2,"sheep",3,3,3,0,6,0,FALSE,FALSE
63,3,"balanced",10,10,4,2,9,0,TRUE,FALSE
